conference,division,name,shortName,mascot,stadiumId,code
SEC,West,University of Mississippi,Ole Miss,Rebels,VAUGHT,MISS
SEC,West,University of Arkansas,Arkansas,Razorbacks,DWR,ARK
SBLT,East,Troy University,Troy,Trojans,TROY-MEM,TROY
SBLT,East,Appalachian State University,App State,Mountaineers,KIDD,APP-ST
SBLT,East,Georgia Southern University,Georgia Southern,Eagles,PAULSON,GA-SO
SBLT,East,Georgia State University,Georgia State,Panthers,TURNER,GA-ST
SBLT,East,Coastal Carolina University,Coastal Carolina,Chanticleers,BROOKS,COASTAL
SBLT,West,University of South Alabama,South Alabama,Jaguars,LADD,SO-AL
SBLT,West,Arkansas State University,Arkansas State,Red Wolves,CENT,AR-ST
SBLT,West,University of Louisiana - Lafayette,Louisiana,Rajin' Cajuns,CAJUN,ULL
SBLT,West,Texas State University,Texas State,Bobcats,WACKER,TX-ST
SBLT,West,University of Louisiana - Monroe,ULM,Warhawks,MALONE,ULM
BSKY,,University of Montana,Montana,Grizzlies,,MONTANA
BSKY,,California State University - Sacramento,Sacramento State, Hornets,,SAC-ST
BSKY,,Weber State University,Weber State,Wildcats,,WEB-ST
BSKY,,Idaho State University,Idaho State,Bengals,,ID-ST
BSKY,,Montana State University,Montana State,Bobcats,,MT-ST
BSKY,,Portland State University,Portland State,Vikings,,PORT-ST
BSKY,,Eastern Washington University,Eastern Washington,Eagles,,EST-WA
BSKY,,Northern Arizona University,Northern Arizona,Lumberjacks,,NO-AZ
BSKY,,"University of California, Davis",UC Davis,Aggies,,UC-DAVIS
BSKY,,California Polytechnic Institute,Cal Poly,Mustangs,,CA-POLY
BSKY,,Northern Colorado University,Northern Colorado,Bears,,NO-CO
BSKY,,University of Idaho,Idaho,Vandals,,IDAHO
BSKY,,University of Southern Utah,Southern Utah,Thunderbirds,,SO-UT
BIGSTH,,Kennesaw State University,Kennesaw State,Owls,,KSW
BIGSTH,,Campbell University,Campbell,Fighting Camels,,CAMPBELL
BIGSTH,,Monmouth University,Monmouth,Hawks,,MON
BIGSTH,,Gardner-Webb University,Gardner-Webb,Bulldogs,,G-WEBB
BIGSTH,,University of North Alabama,North Alabama,Lions,,NO-AL
BIGSTH,,Hampton University,Hampton,Pirates,,HAMP
BIGSTH,,Charleston Southern University,Charleston Southern,Buccaneers,,CHA-SO
BIGSTH,,Presbyterian College,Presbyterian College,Blue Hose,,PC
CAA,,James Madison University,James Madison,Dukes,,JMU
CAA,,University of New Hampshire,New Hampshire,Wildcats,,UNH
CAA,,Villanova University,Villanova,Wildcats,,NOVA
CAA,,Richmond University,Richmond,Spiders,,RICH
CAA,,Albany University,Albany,Great Danes,,ALBANY
CAA,,Elon University,Elon,Phoenix,,ELON
CAA,,University of Delaware,Delaware,Blue Hens,,DE
CAA,,Stony Brook University,Stony Brook,Seawolves,,SBRK
CAA,,Towson University,Towson,Tigers,,TOWSN
CAA,,William & Mary University,William & Mary,Tribe,,WL-MA
CAA,,University of Maine,Maine,Black Bears,,MAINE
CAA,,University of Rhode Island,Rhode Island,Rams,,URI
FCS-IND,,North Dakota University,North Dakota,Fighting Hawks,,NO-DAK
FCS-IND,,Merrimack College,Merrimack,Warriors,,MERRI
IVY,,Dartmouth University,Dartmouth,Big Green,,DART
IVY,,Harvard University,Harvard,Crimson,,HARV
IVY,,Princeton University,Princeton,Tigers,,PRINC
IVY,,Yale University,Yale,Bulldogs,,YALE
IVY,,University of Pennsylvania,Pennsylvania,Quakers,,PENN
IVY,,Brown University,Brown,Bears,,BROWN
IVY,,Columbia University,Columbia,Lions,,COLU
IVY,,Cornell University,Cornell,Big Red,,CORN
MEAC,,Bethune-Cookman University,Bethune-Cookman,Wildcats,,BETH
MEAC,,Florida A&M University,Florida A&M,Rattlers,,FAMU
MEAC,,North Carolina A&T University,North Carolina A&T,Aggies,,NCAT
MEAC,,South Carolina State University,South Carolina State,Bulldogs,,SC-ST
MEAC,,Norfolk State University,Norfolk State,Spartans,,NFLK-ST
MEAC,,North Carolina Central University,NC Central,Eagles,,NC-CENT
MEAC,,Morgan State University,Morgan State,Bears,,MORGN
MEAC,,Howard University,Howard,Bison,,HOWARD
MEAC,,Delaware State University,Delaware State,Hornets,,DE-ST
MVC,,North Dakota State University,North Dakota Sate,Bison,,ND-ST
MVC,,South Dakota State University,South Dakota State,Jackrabbits,,SD-ST
MVC,,University of South Dakota,South Dakota,Coyotes,,SDAK
MVC,,Illinois State University,Illinois State,Redbirds,,ILL-ST
MVC,,Indiana State University,Indiana State,Sycamores,,IND-ST
MVC,,University of Northern Iowa,Northern Iowa,Panthers,,NO-IA
MVC,,Missouri State University,Missouri State,Bears,,MO-ST
MVC,,Youngstown State University,Youngstown State,Penguins,,YO-ST
MVC,,University of Southern Illinois,Southern Illinois,Salukis,,SO-ILL
MVC,,University of Western Illinois,Western Illinois,Leathernecks,,W-ILL
NEC,,University of Central Connecticut,Central Connecticut,Blue Devils,,CT-CT
NEC,,Duquesne University,Duquesne,Dukes,,DUQ
NEC,,Robert Morris University,Robert Morris,Colonials,,RO-MO
NEC,,Wagner University,Wagner,Seahawks,,WAGNER
