G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
5,Sep 28 2019,12:00 PM,Sat,Kansas,@,Texas Christian,Big 12,L,14,51,2,3,L 2,,
6,Oct 5 2019,12:00 PM,Sat,Kansas,,(6) Oklahoma,Big 12,L,20,45,2,4,L 3,,
7,Oct 19 2019,7:00 PM,Sat,Kansas,@,(15) Texas,Big 12,L,48,50,2,5,L 4,,
8,Oct 26 2019,7:00 PM,Sat,Kansas,,Texas Tech,Big 12,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Kansas,,Kansas State,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Kansas,@,Oklahoma State,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Kansas,@,(23) Iowa State,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Kansas,,(14) Baylor,Big 12,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,(5) Ohio State,,Florida Atlantic,CUSA,W,45,21,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,(5) Ohio State,,Cincinnati,American,W,42,0,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,(6) Ohio State,@,Indiana,Big Ten,W,51,10,3,0,W 3,,
4,Sep 21 2019,3:30 PM,Sat,(6) Ohio State,,Miami (OH),MAC,W,76,5,4,0,W 4,,
5,Sep 28 2019,7:30 PM,Sat,(5) Ohio State,@,Nebraska,Big Ten,W,48,7,5,0,W 5,,
6,Oct 5 2019,7:30 PM,Sat,(4) Ohio State,,(25) Michigan State,Big Ten,W,34,10,6,0,W 6,,
7,Oct 18 2019,8:30 PM,Fri,(4) Ohio State,@,Northwestern,Big Ten,W,52,3,7,0,W 7,,
8,Oct 26 2019,12:00 PM,Sat,(3) Ohio State,,(13) Wisconsin,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(3) Ohio State,,Maryland,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(3) Ohio State,@,Rutgers,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(3) Ohio State,,(6) Penn State,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(3) Ohio State,@,(19) Michigan,Big Ten,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,(15) Penn State,,Idaho,Non-Major,W,79,7,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,(15) Penn State,,Buffalo,MAC,W,45,13,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,(13) Penn State,,Pitt,ACC,W,17,10,3,0,W 3,,
4,Sep 27 2019,8:00 PM,Fri,(12) Penn State,@,Maryland,Big Ten,W,59,0,4,0,W 4,,
5,Oct 5 2019,12:00 PM,Sat,(12) Penn State,,Purdue,Big Ten,W,35,7,5,0,W 5,,
6,Oct 12 2019,7:30 PM,Sat,(10) Penn State,@,(17) Iowa,Big Ten,W,17,12,6,0,W 6,,
7,Oct 19 2019,7:30 PM,Sat,(7) Penn State,,(16) Michigan,Big Ten,W,28,21,7,0,W 7,,
8,Oct 26 2019,3:30 PM,Sat,(6) Penn State,@,Michigan State,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(6) Penn State,@,(17) Minnesota,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(6) Penn State,,Indiana,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(6) Penn State,@,(3) Ohio State,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(6) Penn State,,Rutgers,Big Ten,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,(7) Michigan,,Middle Tennessee State,CUSA,W,40,21,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,(7) Michigan,,Army,Ind,W,24,21,2,0,W 2,,
3,Sep 21 2019,12:00 PM,Sat,(11) Michigan,@,(13) Wisconsin,Big Ten,L,14,35,2,1,L 1,,
4,Sep 28 2019,12:00 PM,Sat,(20) Michigan,,Rutgers,Big Ten,W,52,0,3,1,W 1,,
5,Oct 5 2019,12:00 PM,Sat,(19) Michigan,,(14) Iowa,Big Ten,W,10,3,4,1,W 2,,
6,Oct 12 2019,12:00 PM,Sat,(16) Michigan,@,Illinois,Big Ten,W,42,25,5,1,W 3,,
7,Oct 19 2019,7:30 PM,Sat,(16) Michigan,@,(7) Penn State,Big Ten,L,21,28,5,2,L 1,,
8,Oct 26 2019,7:30 PM,Sat,(19) Michigan,,(8) Notre Dame,Ind,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,(19) Michigan,@,Maryland,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(19) Michigan,,Michigan State,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(19) Michigan,@,Indiana,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(19) Michigan,,(3) Ohio State,Big Ten,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Indiana,N,Ball State,MAC,W,34,24,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Indiana,,Eastern Illinois,Non-Major,W,52,0,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,Indiana,,(6) Ohio State,Big Ten,L,10,51,2,1,L 1,,
4,Sep 21 2019,12:00 PM,Sat,Indiana,,Connecticut,American,W,38,3,3,1,W 1,,
5,Sep 28 2019,3:30 PM,Sat,Indiana,@,(25) Michigan State,Big Ten,L,31,40,3,2,L 1,,
6,Oct 12 2019,12:00 PM,Sat,Indiana,,Rutgers,Big Ten,W,35,0,4,2,W 1,,
7,Oct 19 2019,3:30 PM,Sat,Indiana,@,Maryland,Big Ten,W,34,28,5,2,W 2,,
8,Oct 26 2019,3:30 PM,Sat,Indiana,@,Nebraska,Big Ten,,,,,,,,
9,Nov 2 2019,7:00 PM,Sat,Indiana,,Northwestern,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Indiana,@,(6) Penn State,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Indiana,,(19) Michigan,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Indiana,@,Purdue,Big Ten,,,,,,,,
1,Aug 30 2019,7:00 PM,Fri,(18) Michigan State,,Tulsa,American,W,28,7,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,(19) Michigan State,,Western Michigan,MAC,W,51,17,2,0,W 2,,
3,Sep 14 2019,4:00 PM,Sat,(18) Michigan State,,Arizona State,Pac-12,L,7,10,2,1,L 1,,
4,Sep 21 2019,12:00 PM,Sat,Michigan State,@,Northwestern,Big Ten,W,31,10,3,1,W 1,,
5,Sep 28 2019,3:30 PM,Sat,(25) Michigan State,,Indiana,Big Ten,W,40,31,4,1,W 2,,
6,Oct 5 2019,7:30 PM,Sat,(25) Michigan State,@,(4) Ohio State,Big Ten,L,10,34,4,2,L 1,,
7,Oct 12 2019,3:30 PM,Sat,Michigan State,@,(8) Wisconsin,Big Ten,L,0,38,4,3,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Michigan State,,(6) Penn State,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Michigan State,,Illinois,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Michigan State,@,(19) Michigan,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Michigan State,@,Rutgers,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Michigan State,,Maryland,Big Ten,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Maryland,,Howard,Non-Major,W,79,0,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Maryland,,(21) Syracuse,ACC,W,63,20,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,(21) Maryland,@,Temple,American,L,17,20,2,1,L 1,,
4,Sep 27 2019,8:00 PM,Fri,Maryland,,(12) Penn State,Big Ten,L,0,59,2,2,L 2,,
5,Oct 5 2019,12:00 PM,Sat,Maryland,@,Rutgers,Big Ten,W,48,7,3,2,W 1,,
6,Oct 12 2019,12:00 PM,Sat,Maryland,@,Purdue,Big Ten,L,14,40,3,3,L 1,,
7,Oct 19 2019,3:30 PM,Sat,Maryland,,Indiana,Big Ten,L,28,34,3,4,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Maryland,@,(17) Minnesota,Big Ten,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Maryland,,(19) Michigan,Big Ten,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Maryland,@,(3) Ohio State,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Maryland,,Nebraska,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Maryland,@,Michigan State,Big Ten,,,,,,,,
1,Aug 30 2019,7:15 PM,Fri,Rutgers,,Massachusetts,Ind,W,48,21,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Rutgers,@,(20) Iowa,Big Ten,L,0,30,1,1,L 1,,
3,Sep 21 2019,12:00 PM,Sat,Rutgers,,Boston College,ACC,L,16,30,1,2,L 2,,
4,Sep 28 2019,12:00 PM,Sat,Rutgers,@,(20) Michigan,Big Ten,L,0,52,1,3,L 3,,
5,Oct 5 2019,12:00 PM,Sat,Rutgers,,Maryland,Big Ten,L,7,48,1,4,L 4,,
6,Oct 12 2019,12:00 PM,Sat,Rutgers,@,Indiana,Big Ten,L,0,35,1,5,L 5,,
7,Oct 19 2019,3:30 PM,Sat,Rutgers,,(20) Minnesota,Big Ten,L,7,42,1,6,L 6,,
8,Oct 26 2019,12:00 PM,Sat,Rutgers,,Liberty,Ind,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Rutgers,@,Illinois,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Rutgers,,(3) Ohio State,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Rutgers,,Michigan State,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Rutgers,@,(6) Penn State,Big Ten,,,,,,,,
1,Aug 29 2019,9:00 PM,Thu,Minnesota,,South Dakota State,Non-Major,W,28,21,1,0,W 1,,
2,Sep 7 2019,10:30 PM,Sat,Minnesota,@,Fresno State,MWC,W,38,35,2,0,W 2,,
3,Sep 14 2019,3:30 PM,Sat,Minnesota,,Georgia Southern,Sun Belt,W,35,32,3,0,W 3,,
4,Sep 28 2019,3:30 PM,Sat,Minnesota,@,Purdue,Big Ten,W,38,31,4,0,W 4,,
5,Oct 5 2019,3:30 PM,Sat,Minnesota,,Illinois,Big Ten,W,40,17,5,0,W 5,,
6,Oct 12 2019,7:30 PM,Sat,Minnesota,,Nebraska,Big Ten,W,34,7,6,0,W 6,,
7,Oct 19 2019,3:30 PM,Sat,(20) Minnesota,@,Rutgers,Big Ten,W,42,7,7,0,W 7,,
8,Oct 26 2019,3:30 PM,Sat,(17) Minnesota,,Maryland,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(17) Minnesota,,(6) Penn State,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(17) Minnesota,@,(20) Iowa,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(17) Minnesota,@,Northwestern,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(17) Minnesota,,(13) Wisconsin,Big Ten,,,,,,,,
1,Aug 30 2019,7:00 PM,Fri,(19) Wisconsin,@,South Florida,American,W,49,0,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,(17) Wisconsin,,Central Michigan,MAC,W,61,0,2,0,W 2,,
3,Sep 21 2019,12:00 PM,Sat,(13) Wisconsin,,(11) Michigan,Big Ten,W,35,14,3,0,W 3,,
4,Sep 28 2019,12:00 PM,Sat,(8) Wisconsin,,Northwestern,Big Ten,W,24,15,4,0,W 4,,
5,Oct 5 2019,12:00 PM,Sat,(8) Wisconsin,,Kent State,MAC,W,48,0,5,0,W 5,,
6,Oct 12 2019,3:30 PM,Sat,(8) Wisconsin,,Michigan State,Big Ten,W,38,0,6,0,W 6,,
7,Oct 19 2019,12:00 PM,Sat,(6) Wisconsin,@,Illinois,Big Ten,L,23,24,6,1,L 1,,
8,Oct 26 2019,12:00 PM,Sat,(13) Wisconsin,@,(3) Ohio State,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(13) Wisconsin,,(20) Iowa,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(13) Wisconsin,@,Nebraska,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(13) Wisconsin,,Purdue,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(13) Wisconsin,@,(17) Minnesota,Big Ten,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,(20) Iowa,,Miami (OH),MAC,W,38,14,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,(20) Iowa,,Rutgers,Big Ten,W,30,0,2,0,W 2,,
3,Sep 14 2019,4:00 PM,Sat,(19) Iowa,@,Iowa State,Big 12,W,18,17,3,0,W 3,,
4,Sep 28 2019,12:00 PM,Sat,(14) Iowa,,Middle Tennessee State,CUSA,W,48,3,4,0,W 4,,
5,Oct 5 2019,12:00 PM,Sat,(14) Iowa,@,(19) Michigan,Big Ten,L,3,10,4,1,L 1,,
6,Oct 12 2019,7:30 PM,Sat,(17) Iowa,,(10) Penn State,Big Ten,L,12,17,4,2,L 2,,
7,Oct 19 2019,12:00 PM,Sat,(23) Iowa,,Purdue,Big Ten,W,26,20,5,2,W 1,,
8,Oct 26 2019,12:00 PM,Sat,(20) Iowa,@,Northwestern,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(20) Iowa,@,(13) Wisconsin,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(20) Iowa,,(17) Minnesota,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(20) Iowa,,Illinois,Big Ten,,,,,,,,
12,Nov 29 2019,2:30 PM,Fri,(20) Iowa,@,Nebraska,Big Ten,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,(24) Nebraska,,South Alabama,Sun Belt,W,35,21,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,(25) Nebraska,@,Colorado,Pac-12,L,31,34,1,1,L 1,,
3,Sep 14 2019,8:00 PM,Sat,Nebraska,,Northern Illinois,MAC,W,44,8,2,1,W 1,,
4,Sep 21 2019,8:00 PM,Sat,Nebraska,@,Illinois,Big Ten,W,42,38,3,1,W 2,,
5,Sep 28 2019,7:30 PM,Sat,Nebraska,,(5) Ohio State,Big Ten,L,7,48,3,2,L 1,,
6,Oct 5 2019,4:00 PM,Sat,Nebraska,,Northwestern,Big Ten,W,13,10,4,2,W 1,,
7,Oct 12 2019,7:30 PM,Sat,Nebraska,@,Minnesota,Big Ten,L,7,34,4,3,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Nebraska,,Indiana,Big Ten,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Nebraska,@,Purdue,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Nebraska,,(13) Wisconsin,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Nebraska,@,Maryland,Big Ten,,,,,,,,
12,Nov 29 2019,2:30 PM,Fri,Nebraska,,(20) Iowa,Big Ten,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Illinois,,Akron,MAC,W,42,3,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Illinois,@,Connecticut,American,W,31,23,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,Illinois,,Eastern Michigan,MAC,L,31,34,2,1,L 1,,
4,Sep 21 2019,8:00 PM,Sat,Illinois,,Nebraska,Big Ten,L,38,42,2,2,L 2,,
5,Oct 5 2019,3:30 PM,Sat,Illinois,@,Minnesota,Big Ten,L,17,40,2,3,L 3,,
6,Oct 12 2019,12:00 PM,Sat,Illinois,,(16) Michigan,Big Ten,L,25,42,2,4,L 4,,
7,Oct 19 2019,12:00 PM,Sat,Illinois,,(6) Wisconsin,Big Ten,W,24,23,3,4,W 1,,
8,Oct 26 2019,12:00 PM,Sat,Illinois,@,Purdue,Big Ten,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Illinois,,Rutgers,Big Ten,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Illinois,@,Michigan State,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Illinois,@,(20) Iowa,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Illinois,,Northwestern,Big Ten,,,,,,,,
1,Aug 30 2019,9:30 PM,Fri,Purdue,@,Nevada,MWC,L,31,34,0,1,L 1,,
2,Sep 7 2019,12:00 PM,Sat,Purdue,,Vanderbilt,SEC,W,42,24,1,1,W 1,,
3,Sep 14 2019,7:30 PM,Sat,Purdue,,Texas Christian,Big 12,L,13,34,1,2,L 1,,
4,Sep 28 2019,3:30 PM,Sat,Purdue,,Minnesota,Big Ten,L,31,38,1,3,L 2,,
5,Oct 5 2019,12:00 PM,Sat,Purdue,@,(12) Penn State,Big Ten,L,7,35,1,4,L 3,,
6,Oct 12 2019,12:00 PM,Sat,Purdue,,Maryland,Big Ten,W,40,14,2,4,W 1,,
7,Oct 19 2019,12:00 PM,Sat,Purdue,@,(23) Iowa,Big Ten,L,20,26,2,5,L 1,,
8,Oct 26 2019,12:00 PM,Sat,Purdue,,Illinois,Big Ten,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Purdue,,Nebraska,Big Ten,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Purdue,@,Northwestern,Big Ten,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Purdue,@,(13) Wisconsin,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Purdue,,Indiana,Big Ten,,,,,,,,
1,Aug 31 2019,4:00 PM,Sat,Northwestern,@,(25) Stanford,Pac-12,L,7,17,0,1,L 1,,
2,Sep 14 2019,3:30 PM,Sat,Northwestern,,Nevada-Las Vegas,MWC,W,30,14,1,1,W 1,,
3,Sep 21 2019,12:00 PM,Sat,Northwestern,,Michigan State,Big Ten,L,10,31,1,2,L 1,,
4,Sep 28 2019,12:00 PM,Sat,Northwestern,@,(8) Wisconsin,Big Ten,L,15,24,1,3,L 2,,
5,Oct 5 2019,4:00 PM,Sat,Northwestern,@,Nebraska,Big Ten,L,10,13,1,4,L 3,,
6,Oct 18 2019,8:30 PM,Fri,Northwestern,,(4) Ohio State,Big Ten,L,3,52,1,5,L 4,,
7,Oct 26 2019,12:00 PM,Sat,Northwestern,,(20) Iowa,Big Ten,,,,,,,,
8,Nov 2 2019,7:00 PM,Sat,Northwestern,@,Indiana,Big Ten,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Northwestern,,Purdue,Big Ten,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Northwestern,,Massachusetts,Ind,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Northwestern,,(17) Minnesota,Big Ten,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Northwestern,@,Illinois,Big Ten,,,,,,,,
1,Aug 29 2019,7:30 PM,Thu,Western Kentucky,,Central Arkansas,Non-Major,L,28,35,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Western Kentucky,@,Florida International,CUSA,W,20,14,1,1,W 1,,
3,Sep 14 2019,4:00 PM,Sat,Western Kentucky,N,Louisville,ACC,L,21,38,1,2,L 1,,
4,Sep 28 2019,7:00 PM,Sat,Western Kentucky,,UAB,CUSA,W,20,13,2,2,W 1,,
5,Oct 5 2019,6:00 PM,Sat,Western Kentucky,@,Old Dominion,CUSA,W,20,3,3,2,W 2,,
6,Oct 12 2019,7:00 PM,Sat,Western Kentucky,,Army,Ind,W,17,8,4,2,W 3,,
7,Oct 19 2019,4:00 PM,Sat,Western Kentucky,,Charlotte,CUSA,W,30,14,5,2,W 4,,
8,Oct 26 2019,2:30 PM,Sat,Western Kentucky,@,Marshall,CUSA,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,Western Kentucky,,Florida Atlantic,CUSA,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Western Kentucky,@,Arkansas,SEC,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,Western Kentucky,@,Southern Mississippi,CUSA,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Western Kentucky,,Middle Tennessee State,CUSA,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Florida Atlantic,@,(5) Ohio State,Big Ten,L,21,45,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Florida Atlantic,,(18) UCF,American,L,14,48,0,2,L 2,,
3,Sep 14 2019,2:00 PM,Sat,Florida Atlantic,@,Ball State,MAC,W,41,31,1,2,W 1,,
4,Sep 21 2019,6:00 PM,Sat,Florida Atlantic,,Wagner,Non-Major,W,42,7,2,2,W 2,,
5,Sep 28 2019,3:30 PM,Sat,Florida Atlantic,@,Charlotte,CUSA,W,45,27,3,2,W 3,,
6,Oct 12 2019,4:00 PM,Sat,Florida Atlantic,,Middle Tennessee State,CUSA,W,28,13,4,2,W 4,,
7,Oct 18 2019,6:30 PM,Fri,Florida Atlantic,,Marshall,CUSA,L,31,36,4,3,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Florida Atlantic,@,Old Dominion,CUSA,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,Florida Atlantic,@,Western Kentucky,CUSA,,,,,,,,
10,Nov 9 2019,6:00 PM,Sat,Florida Atlantic,,Florida International,CUSA,,,,,,,,
11,Nov 23 2019,6:00 PM,Sat,Florida Atlantic,@,UTSA,CUSA,,,,,,,,
12,Nov 30 2019,3:30 PM,Sat,Florida Atlantic,,Southern Mississippi,CUSA,,,,,,,,
1,Aug 31 2019,6:30 PM,Sat,Marshall,,Virginia Military Institute,Non-Major,W,56,17,1,0,W 1,,
2,Sep 6 2019,9:00 PM,Fri,Marshall,@,(24) Boise State,MWC,L,7,14,1,1,L 1,,
3,Sep 14 2019,6:30 PM,Sat,Marshall,,Ohio,MAC,W,33,31,2,1,W 1,,
4,Sep 28 2019,5:00 PM,Sat,Marshall,,Cincinnati,American,L,14,52,2,2,L 1,,
5,Oct 5 2019,3:30 PM,Sat,Marshall,@,Middle Tennessee State,CUSA,L,13,24,2,3,L 2,,
6,Oct 12 2019,2:30 PM,Sat,Marshall,,Old Dominion,CUSA,W,31,17,3,3,W 1,,
7,Oct 18 2019,6:30 PM,Fri,Marshall,@,Florida Atlantic,CUSA,W,36,31,4,3,W 2,,
8,Oct 26 2019,2:30 PM,Sat,Marshall,,Western Kentucky,CUSA,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Marshall,@,Rice,CUSA,,,,,,,,
10,Nov 15 2019,,Fri,Marshall,,Louisiana Tech,CUSA,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,Marshall,@,Charlotte,CUSA,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Marshall,,Florida International,CUSA,,,,,,,,
1,Aug 29 2019,8:00 PM,Thu,Florida International,@,Tulane,American,L,14,42,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Florida International,,Western Kentucky,CUSA,L,14,20,0,2,L 2,,
3,Sep 14 2019,7:00 PM,Sat,Florida International,,New Hampshire,Non-Major,W,30,17,1,2,W 1,,
4,Sep 20 2019,8:00 PM,Fri,Florida International,@,Louisiana Tech,CUSA,L,31,43,1,3,L 1,,
5,Oct 5 2019,7:00 PM,Sat,Florida International,,Massachusetts,Ind,W,44,0,2,3,W 1,,
6,Oct 12 2019,7:00 PM,Sat,Florida International,,Charlotte,CUSA,W,48,23,3,3,W 2,,
7,Oct 19 2019,7:00 PM,Sat,Florida International,,UTEP,CUSA,W,32,17,4,3,W 3,,
8,Oct 26 2019,3:30 PM,Sat,Florida International,@,Middle Tennessee State,CUSA,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Florida International,,Old Dominion,CUSA,,,,,,,,
10,Nov 9 2019,6:00 PM,Sat,Florida International,@,Florida Atlantic,CUSA,,,,,,,,
11,Nov 23 2019,7:00 PM,Sat,Florida International,,Miami (FL),ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Florida International,@,Marshall,CUSA,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Middle Tennessee State,@,(7) Michigan,Big Ten,L,21,40,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Middle Tennessee State,,Tennessee State,Non-Major,W,45,26,1,1,W 1,,
3,Sep 14 2019,7:00 PM,Sat,Middle Tennessee State,,Duke,ACC,L,18,41,1,2,L 1,,
4,Sep 28 2019,12:00 PM,Sat,Middle Tennessee State,@,(14) Iowa,Big Ten,L,3,48,1,3,L 2,,
5,Oct 5 2019,3:30 PM,Sat,Middle Tennessee State,,Marshall,CUSA,W,24,13,2,3,W 1,,
6,Oct 12 2019,4:00 PM,Sat,Middle Tennessee State,@,Florida Atlantic,CUSA,L,13,28,2,4,L 1,,
7,Oct 19 2019,4:00 PM,Sat,Middle Tennessee State,@,North Texas,CUSA,L,30,33,2,5,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Middle Tennessee State,,Florida International,CUSA,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Middle Tennessee State,@,Charlotte,CUSA,,,,,,,,
10,Nov 16 2019,4:30 PM,Sat,Middle Tennessee State,,Rice,CUSA,,,,,,,,
11,Nov 23 2019,4:30 PM,Sat,Middle Tennessee State,,Old Dominion,CUSA,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Middle Tennessee State,@,Western Kentucky,CUSA,,,,,,,,
1,Aug 29 2019,12:00 PM,Thu,Charlotte,,Gardner-Webb,Non-Major,W,49,28,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Charlotte,@,Appalachian State,Sun Belt,L,41,56,1,1,L 1,,
3,Sep 14 2019,6:00 PM,Sat,Charlotte,,Massachusetts,Ind,W,52,17,2,1,W 1,,
4,Sep 21 2019,7:30 PM,Sat,Charlotte,@,(1) Clemson,ACC,L,10,52,2,2,L 1,,
5,Sep 28 2019,3:30 PM,Sat,Charlotte,,Florida Atlantic,CUSA,L,27,45,2,3,L 2,,
6,Oct 12 2019,7:00 PM,Sat,Charlotte,@,Florida International,CUSA,L,23,48,2,4,L 3,,
7,Oct 19 2019,4:00 PM,Sat,Charlotte,@,Western Kentucky,CUSA,L,14,30,2,5,L 4,,
8,Oct 26 2019,3:30 PM,Sat,Charlotte,,North Texas,CUSA,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Charlotte,,Middle Tennessee State,CUSA,,,,,,,,
10,Nov 9 2019,3:00 PM,Sat,Charlotte,@,UTEP,CUSA,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,Charlotte,,Marshall,CUSA,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Charlotte,@,Old Dominion,CUSA,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Old Dominion,,Norfolk State,Non-Major,W,24,21,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Old Dominion,@,Virginia Tech,ACC,L,17,31,1,1,L 1,,
3,Sep 21 2019,7:00 PM,Sat,Old Dominion,@,(21) Virginia,ACC,L,17,28,1,2,L 2,,
4,Sep 28 2019,6:00 PM,Sat,Old Dominion,,East Carolina,American,L,21,24,1,3,L 3,,
