G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
2,Sep 7 2019,3:30 PM,Sat,(1) Clemson,,(12) Texas A&M,SEC,W,24,10,2,0,W 2,,
3,Sep 14 2019,7:30 PM,Sat,(1) Clemson,@,Syracuse,ACC,W,41,6,3,0,W 3,,
4,Sep 21 2019,7:30 PM,Sat,(1) Clemson,,Charlotte,CUSA,W,52,10,4,0,W 4,,
5,Sep 28 2019,3:30 PM,Sat,(1) Clemson,@,North Carolina,ACC,W,21,20,5,0,W 5,,
6,Oct 12 2019,3:30 PM,Sat,(2) Clemson,,Florida State,ACC,W,45,14,6,0,W 6,,
7,Oct 19 2019,12:00 PM,Sat,(3) Clemson,@,Louisville,ACC,W,45,10,7,0,W 7,,
8,Oct 26 2019,7:30 PM,Sat,(4) Clemson,,Boston College,ACC,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,(4) Clemson,,Wofford,Non-Major,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,(4) Clemson,@,North Carolina State,ACC,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,(4) Clemson,,(25) Wake Forest,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(4) Clemson,@,South Carolina,SEC,,,,,,,,
1,Aug 30 2019,8:00 PM,Fri,Wake Forest,,Utah State,MWC,W,38,35,1,0,W 1,,
2,Sep 6 2019,8:00 PM,Fri,Wake Forest,@,Rice,CUSA,W,41,21,2,0,W 2,,
3,Sep 13 2019,6:00 PM,Fri,Wake Forest,,North Carolina,ACC,W,24,18,3,0,W 3,,
4,Sep 21 2019,12:00 PM,Sat,Wake Forest,,Elon,Non-Major,W,49,7,4,0,W 4,,
5,Sep 28 2019,3:30 PM,Sat,Wake Forest,@,Boston College,ACC,W,27,24,5,0,W 5,,
6,Oct 12 2019,7:30 PM,Sat,(19) Wake Forest,,Louisville,ACC,L,59,62,5,1,L 1,,
7,Oct 19 2019,7:30 PM,Sat,Wake Forest,,Florida State,ACC,W,22,20,6,1,W 1,,
8,Nov 2 2019,12:00 PM,Sat,(25) Wake Forest,,North Carolina State,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(25) Wake Forest,@,Virginia Tech,ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(25) Wake Forest,@,(4) Clemson,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(25) Wake Forest,,Duke,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(25) Wake Forest,@,Syracuse,ACC,,,,,,,,
1,Aug 31 2019,4:00 PM,Sat,Boston College,,Virginia Tech,ACC,W,35,28,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Boston College,,Richmond,Non-Major,W,45,13,2,0,W 2,,
3,Sep 13 2019,7:30 PM,Fri,Boston College,,Kansas,Big 12,L,24,48,2,1,L 1,,
4,Sep 21 2019,12:00 PM,Sat,Boston College,@,Rutgers,Big Ten,W,30,16,3,1,W 1,,
5,Sep 28 2019,3:30 PM,Sat,Boston College,,Wake Forest,ACC,L,24,27,3,2,L 1,,
6,Oct 5 2019,12:30 PM,Sat,Boston College,@,Louisville,ACC,L,39,41,3,3,L 2,,
7,Oct 19 2019,12:00 PM,Sat,Boston College,,North Carolina State,ACC,W,45,24,4,3,W 1,,
8,Oct 26 2019,7:30 PM,Sat,Boston College,@,(4) Clemson,ACC,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Boston College,@,Syracuse,ACC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Boston College,,Florida State,ACC,,,,,,,,
11,Nov 23 2019,2:30 PM,Sat,Boston College,@,(8) Notre Dame,Ind,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Boston College,@,Pitt,ACC,,,,,,,,
1,Sep 2 2019,8:00 PM,Mon,Louisville,,(9) Notre Dame,Ind,L,17,35,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Louisville,,Eastern Kentucky,Non-Major,W,42,0,1,1,W 1,,
3,Sep 14 2019,4:00 PM,Sat,Louisville,N,Western Kentucky,CUSA,W,38,21,2,1,W 2,,
4,Sep 21 2019,3:30 PM,Sat,Louisville,@,Florida State,ACC,L,24,35,2,2,L 1,,
5,Oct 5 2019,12:30 PM,Sat,Louisville,,Boston College,ACC,W,41,39,3,2,W 1,,
6,Oct 12 2019,7:30 PM,Sat,Louisville,@,(19) Wake Forest,ACC,W,62,59,4,2,W 2,,
7,Oct 19 2019,12:00 PM,Sat,Louisville,,(3) Clemson,ACC,L,10,45,4,3,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Louisville,,Virginia,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Louisville,@,Miami (FL),ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Louisville,@,North Carolina State,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Louisville,,Syracuse,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Louisville,@,Kentucky,SEC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Florida State,,Boise State,MWC,L,31,36,0,1,L 1,,
2,Sep 7 2019,5:00 PM,Sat,Florida State,,Louisiana-Monroe,Sun Belt,W,45,44,1,1,W 1,,
3,Sep 14 2019,7:30 PM,Sat,Florida State,@,(25) Virginia,ACC,L,24,31,1,2,L 1,,
4,Sep 21 2019,3:30 PM,Sat,Florida State,,Louisville,ACC,W,35,24,2,2,W 1,,
5,Sep 28 2019,7:30 PM,Sat,Florida State,,North Carolina State,ACC,W,31,13,3,2,W 2,,
6,Oct 12 2019,3:30 PM,Sat,Florida State,@,(2) Clemson,ACC,L,14,45,3,3,L 1,,
7,Oct 19 2019,7:30 PM,Sat,Florida State,@,Wake Forest,ACC,L,20,22,3,4,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Florida State,,Syracuse,ACC,,,,,,,,
9,Nov 2 2019,1:00 PM,Sat,Florida State,,Miami (FL),ACC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Florida State,@,Boston College,ACC,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,Florida State,,Alabama State,Non-Major,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Florida State,@,(7) Florida,SEC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,North Carolina State,,East Carolina,American,W,34,6,1,0,W 1,,
2,Sep 7 2019,12:30 PM,Sat,North Carolina State,,Western Carolina,Non-Major,W,41,0,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,North Carolina State,@,West Virginia,Big 12,L,27,44,2,1,L 1,,
4,Sep 21 2019,7:00 PM,Sat,North Carolina State,,Ball State,MAC,W,34,23,3,1,W 1,,
5,Sep 28 2019,7:30 PM,Sat,North Carolina State,@,Florida State,ACC,L,13,31,3,2,L 1,,
6,Oct 10 2019,8:00 PM,Thu,North Carolina State,,Syracuse,ACC,W,16,10,4,2,W 1,,
7,Oct 19 2019,12:00 PM,Sat,North Carolina State,@,Boston College,ACC,L,24,45,4,3,L 1,,
8,Nov 2 2019,12:00 PM,Sat,North Carolina State,@,(25) Wake Forest,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,North Carolina State,,(4) Clemson,ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,North Carolina State,,Louisville,ACC,,,,,,,,
11,Nov 21 2019,8:00 PM,Thu,North Carolina State,@,Georgia Tech,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,North Carolina State,,North Carolina,ACC,,,,,,,,
1,Aug 31 2019,6:00 PM,Sat,(22) Syracuse,@,Liberty,Ind,W,24,0,1,0,W 1,,
